# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       3.255935492585e-03      -1.030692887654e+00      -1.222413817200e+00      -1.226928006827e+00      -1.226925960780e+00       0.000000000000e+00      -9.807336812098e-01      -1.219927145959e+00       5.816024440163e-01       5.750317845139e-01      -1.198625118863e-03      -1.381701783760e-06      -1.730495272497e-10                      nan      -1.222955991026e-03      -4.647215543216e-05 
       3.369581728141e-03      -1.064971005892e+00      -1.306553740695e+00      -1.311727423992e+00      -1.311725362490e+00       0.000000000000e+00      -1.010058421147e+00      -1.303098488302e+00       5.797074519073e-01       5.736003374107e-01      -1.342709105827e-03      -1.581214249228e-06      -1.720561480936e-10                      nan      -1.366071007015e-03      -5.200282119170e-05 
       3.483873490193e-03      -1.096513594565e+00      -1.393726520746e+00      -1.399633107767e+00      -1.399631031142e+00       0.000000000000e+00      -1.036519881358e+00      -1.389193569952e+00       5.777718623558e-01       5.721262577955e-01      -1.496942830209e-03      -1.802442587265e-06      -1.711222054029e-10                      nan      -1.518529289433e-03      -5.791274771312e-05 
       3.598759367421e-03      -1.125078949117e+00      -1.483902157395e+00      -1.490620774983e+00      -1.490618683557e+00       0.000000000000e+00      -1.059922454546e+00      -1.478181440493e+00       5.757988940770e-01       5.706110854759e-01      -1.661207044194e-03      -2.047022240883e-06      -1.702430801465e-10                      nan      -1.680092350671e-03      -6.419576439815e-05 
       3.714192786759e-03      -1.150450254762e+00      -1.577048696425e+00      -1.584664084049e+00      -1.584661978129e+00       0.000000000000e+00      -1.080101705551e+00      -1.570029963105e+00       5.737916378078e-01       5.690562739236e-01      -1.835293134718e-03      -2.316514332676e-06      -1.694144875048e-10                      nan      -1.850432600976e-03      -7.084227288800e-05 
       3.830131532053e-03      -1.172438642678e+00      -1.673132786449e+00      -1.681735577379e+00      -1.681733457263e+00       0.000000000000e+00      -1.096925448834e+00      -1.664706733331e+00       5.717533085218e-01       5.674634516680e-01      -2.018903154555e-03      -2.612559931462e-06      -1.686325530619e-10                      nan      -2.029136646957e-03      -7.783932374719e-05 
       3.946537306880e-03      -1.190884447949e+00      -1.772119311927e+00      -1.781806215203e+00      -1.781804081177e+00       0.000000000000e+00      -1.110295600970e+00      -1.762178685717e+00       5.696869870419e-01       5.658341736985e-01      -2.211649925234e-03      -2.936838419993e-06      -1.678937711609e-10                      nan      -2.215707542621e-03      -8.517064742619e-05 
       4.063375339396e-03      -1.205659079716e+00      -1.873972414711e+00      -1.884846273283e+00      -1.884844125621e+00       0.000000000000e+00      -1.120148467637e+00      -1.862413020721e+00       5.675958547211e-01       5.641701650621e-01      -2.413059516140e-03      -3.291013430703e-06      -1.671949258395e-10                      nan      -2.409570662312e-03      -9.281679368580e-05 
       4.180614026477e-03      -1.216666228146e+00      -1.978654125054e+00      -1.990824618795e+00      -1.990822457763e+00       0.000000000000e+00      -1.126455898367e+00      -1.965376433040e+00       5.654828764214e-01       5.624730110640e-01      -2.622573649110e-03      -3.677016121302e-06      -1.665330761495e-10                      nan      -2.610078252295e-03      -1.007553019807e-04 
       4.298224614140e-03      -1.223842220878e+00      -2.086126725543e+00      -2.099709862242e+00      -2.099707688097e+00       0.000000000000e+00      -1.129224557932e+00      -2.071036421017e+00       5.633511338785e-01       5.607444992549e-01      -2.839554534830e-03      -4.096511949207e-06      -1.659055876983e-10                      nan      -2.816518267318e-03      -1.089608648561e-04 
