# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.048788822492e-03      -1.659109207195e-01      -1.302906812486e-01      -1.303396003252e-01       0.000000000000e+00      -1.650137231930e-01      -1.313520520754e-01       6.087849182855e-01       5.943994626381e-01 
       1.116778986862e-03      -1.868795415793e-01      -1.476677830982e-01      -1.477306636369e-01       0.000000000000e+00      -1.857345952061e-01      -1.488416332813e-01       6.083140103673e-01       5.940814842004e-01 
       1.188277341593e-03      -2.100127513954e-01      -1.671009763598e-01      -1.671815589867e-01       0.000000000000e+00      -2.085573634916e-01      -1.683927429216e-01       6.077889777654e-01       5.937262922387e-01 
       1.263217364035e-03      -2.353835048788e-01      -1.887417554841e-01      -1.888446496047e-01       0.000000000000e+00      -2.335419888071e-01      -1.901551503461e-01       6.072062015591e-01       5.933311978957e-01 
       1.341500403710e-03      -2.630329421164e-01      -2.127330188566e-01      -2.128640203301e-01       0.000000000000e+00      -2.607168870166e-01      -2.142696169169e-01       6.065598575209e-01       5.928915341030e-01 
       1.423000229794e-03      -2.929697227882e-01      -2.392093975594e-01      -2.393753584288e-01       0.000000000000e+00      -2.900729020591e-01      -2.408677689580e-01       6.058499474005e-01       5.924073697667e-01 
       1.507568477172e-03      -3.251643649826e-01      -2.682931770292e-01      -2.685023257046e-01       0.000000000000e+00      -3.215629187050e-01      -2.700684015323e-01       6.050740314326e-01       5.918766932257e-01 
       1.595040487038e-03      -3.595487692793e-01      -3.000939592584e-01      -3.003560873276e-01       0.000000000000e+00      -3.551000560868e-01      -3.019770126547e-01       6.042301590433e-01       5.912977656337e-01 
       1.685241074673e-03      -3.960160255896e-01      -3.347081311193e-01      -3.350347789544e-01       0.000000000000e+00      -3.905578279972e-01      -3.366852846364e-01       6.033168819098e-01       5.906691316955e-01 
       1.777989849548e-03      -4.344214119057e-01      -3.722187901153e-01      -3.726234628131e-01       0.000000000000e+00      -4.277715145061e-01      -3.742710699636e-01       6.023332459051e-01       5.899896155633e-01 
       1.873105833077e-03      -4.745842821295e-01      -4.126961194124e-01      -4.131944853009e-01       0.000000000000e+00      -4.665405651154e-01      -4.147988021289e-01       6.012787826209e-01       5.892583191012e-01 
       1.970411240942e-03      -5.162907910728e-01      -4.561980469052e-01      -4.568081371076e-01       0.000000000000e+00      -5.066318357322e-01      -4.583202214925e-01       6.001534994461e-01       5.884746230562e-01 
       2.069734400901e-03      -5.592972927855e-01      -5.027710228555e-01      -5.035134816816e-01       0.000000000000e+00      -5.477835101086e-01      -5.048752763111e-01       5.989578193328e-01       5.876381415401e-01 
       2.170911853969e-03      -6.033339717130e-01      -5.524510775994e-01      -5.533493292518e-01       0.000000000000e+00      -5.897094244545e-01      -5.544931953338e-01       5.976925826546e-01       5.867487386786e-01 
       2.273789735124e-03      -6.481090148612e-01      -6.052647227255e-01      -6.063452125784e-01       0.000000000000e+00      -6.321037517129e-01      -6.071935503543e-01       5.963589832674e-01       5.858064821889e-01 
       2.378224553043e-03      -6.933128043602e-01      -6.612299636390e-01      -6.625223764068e-01       0.000000000000e+00      -6.746458101009e-01      -6.629873494784e-01       5.949585463868e-01       5.848116381808e-01 
       2.484083492891e-03      -7.386222114272e-01      -7.203572586149e-01      -7.218947234206e-01       0.000000000000e+00      -7.170049293124e-01      -7.218780889734e-01       5.934931031653e-01       5.837646630339e-01 
       2.591244358339e-03      -7.837048731420e-01      -7.826503223269e-01      -7.844696242498e-01       0.000000000000e+00      -7.588453664968e-01      -7.838626702843e-01       5.919647092144e-01       5.826661397050e-01 
       2.699595254278e-03      -8.282235133833e-01      -8.481070097573e-01      -8.502487984337e-01       0.000000000000e+00      -7.998309390601e-01      -8.489323848547e-01       5.903756904305e-01       5.815168393335e-01 
       2.809034094327e-03      -8.718400432093e-01      -9.167198956074e-01      -9.192289127058e-01       0.000000000000e+00      -8.396297432040e-01      -9.170736182157e-01       5.887285266297e-01       5.803176218981e-01 
       2.919467999818e-03      -9.142196142933e-01      -9.884770156556e-01      -9.914023000495e-01       0.000000000000e+00      -8.779184272475e-01      -9.882686718381e-01       5.870258930409e-01       5.790694927477e-01 
       3.030812641171e-03      -9.550343415851e-01      -1.063362395992e+00      -1.066757435497e+00       0.000000000000e+00      -9.143864177682e-01      -1.062496347519e+00       5.852705845983e-01       5.777735424174e-01 
       3.142991559080e-03      -9.939673168240e-01      -1.141356398210e+00      -1.145279494823e+00       0.000000000000e+00      -9.487397030976e-01      -1.139732569406e+00       5.834655253483e-01       5.764309693803e-01 
       3.255935491967e-03      -1.030715474789e+00      -1.222436443576e+00      -1.226950690424e+00       0.000000000000e+00      -9.807044746774e-01      -1.219950864350e+00       5.816137150588e-01       5.750430416194e-01 
       3.369581727509e-03      -1.064993516075e+00      -1.306576989507e+00      -1.311750737962e+00       0.000000000000e+00      -1.010030260725e+00      -1.303122841145e+00       5.797182340296e-01       5.736111129603e-01 
       3.483873489548e-03      -1.096535965992e+00      -1.393750388508e+00      -1.399657047598e+00       0.000000000000e+00      -1.036492907138e+00      -1.389218553360e+00       5.777821903180e-01       5.721365841954e-01 
       3.598759366763e-03      -1.125101112020e+00      -1.483926624812e+00      -1.490645324276e+00       0.000000000000e+00      -1.059896807723e+00      -1.478207038295e+00       5.758087946025e-01       5.706209876290e-01 
       3.714192786088e-03      -1.150472152263e+00      -1.577073760606e+00      -1.584689237174e+00       0.000000000000e+00      -1.080077506086e+00      -1.570056170470e+00       5.738011397817e-01       5.690657792652e-01 
       3.830131531369e-03      -1.172460208695e+00      -1.673158424338e+00      -1.681761312965e+00       0.000000000000e+00      -1.096902817473e+00      -1.664733529293e+00       5.717624326867e-01       5.674725798482e-01 
       3.946537306183e-03      -1.190905656403e+00      -1.772145548280e+00      -1.781832560912e+00       0.000000000000e+00      -1.110274607082e+00      -1.762206096817e+00       5.696957681920e-01       5.658429586851e-01 
       4.063375338686e-03      -1.205679874621e+00      -1.873999232796e+00      -1.884873213163e+00       0.000000000000e+00      -1.120129202520e+00      -1.862441031243e+00       5.676043108183e-01       5.641786242151e-01 
       4.180614025754e-03      -1.216686567259e+00      -1.978681523623e+00      -1.990852150884e+00       0.000000000000e+00      -1.126438429274e+00      -1.965405041051e+00       5.654910281764e-01       5.624811646639e-01 
       4.298224613405e-03      -1.223862040409e+00      -2.086154660075e+00      -2.099737942753e+00       0.000000000000e+00      -1.129208965039e+00      -2.071065583530e+00       5.633589890269e-01       5.607523547426e-01 
       4.416180910359e-03      -1.227175811907e+00      -2.196379820715e+00      -2.211498149818e+00       0.000000000000e+00      -1.128482571227e+00      -2.179390113743e+00       5.612110893102e-01       5.589938870387e-01 
       4.534459031676e-03      -1.226631908602e+00      -2.309316229047e+00      -2.326099674202e+00       0.000000000000e+00      -1.124335162665e+00      -2.290346235984e+00       5.590500870673e-01       5.572074123801e-01 
       4.653037169509e-03      -1.222267402142e+00      -2.424924184415e+00      -2.443509697551e+00       0.000000000000e+00      -1.116875139087e+00      -2.403902904071e+00       5.568788467971e-01       5.553947905070e-01 
       4.771895388214e-03      -1.214152202217e+00      -2.543162060962e+00      -2.563694031791e+00       0.000000000000e+00      -1.106242913138e+00      -2.520028595059e+00       5.546998770667e-01       5.535576300742e-01 
       4.891015441268e-03      -1.202388471164e+00      -2.663989239628e+00      -2.686619068550e+00       0.000000000000e+00      -1.092607979537e+00      -2.638693314208e+00       5.525157836186e-01       5.516977462613e-01 
       5.010380607654e-03      -1.187109785958e+00      -2.787363567232e+00      -2.812250593518e+00       0.000000000000e+00      -1.076167460633e+00      -2.759867195844e+00       5.503289380277e-01       5.498168311391e-01 
       5.129975545600e-03      -1.168478905961e+00      -2.913242617607e+00      -2.940554070426e+00       0.000000000000e+00      -1.057143452760e+00      -2.883520865363e+00       5.481415562949e-01       5.479165341303e-01 
       5.249786161774e-03      -1.146687692116e+00      -3.041584541864e+00      -3.071495712629e+00       0.000000000000e+00      -1.035779961306e+00      -3.009626406742e+00       5.459558796580e-01       5.459986437945e-01 
