# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_dmeff               15:t_fld                 16:t_ur                  17:t_tot              
       2.170911853969e-03      -2.135263581510e+00      -1.701399066022e+00      -1.702296554747e+00      -1.702294685291e+00       0.000000000000e+00      -2.121640361816e+00      -1.714539700231e+00       5.976927480488e-01       5.867489196308e-01       4.128943013796e-04       6.976541110758e-04       6.979321081207e-04       6.979319204640e-04                      nan       4.002932009975e-04       6.867822613971e-04 
       2.273789735124e-03      -2.178272680386e+00      -1.752883635845e+00      -1.753965639962e+00      -1.753963750718e+00       0.000000000000e+00      -2.162265605776e+00      -1.765900129764e+00       5.963588330832e-01       5.858063165363e-01       4.266125684394e-04       7.644282769085e-04       7.647634552586e-04       7.647632695641e-04                      nan       4.123140074672e-04       7.515453069361e-04 
       2.378224553043e-03      -2.221600348479e+00      -1.807445076183e+00      -1.808737133552e+00      -1.808735225065e+00       0.000000000000e+00      -2.202934188842e+00      -1.820274954283e+00       5.949587755169e-01       5.848118629032e-01       4.370330720878e-04       8.352047246639e-04       8.356042210626e-04       8.356040371939e-04                      nan       4.209924210718e-04       8.200362891584e-04 
       2.484083492891e-03      -2.264936838423e+00      -1.865089642408e+00      -1.866628388019e+00      -1.866626460800e+00       0.000000000000e+00      -2.243318266789e+00      -1.877670061498e+00       5.934929839396e-01       5.837645310965e-01       4.436521183669e-04       9.099937429610e-04       9.104692456665e-04       9.104690634974e-04                      nan       4.258638486033e-04       8.922500954969e-04 
       2.591244358339e-03      -2.307941587521e+00      -1.925823663471e+00      -1.927644361659e+00      -1.927642416192e+00       0.000000000000e+00      -2.283080732750e+00      -1.938080655880e+00       5.919647075655e-01       5.826661162137e-01       4.459908601843e-04       9.888064494506e-04       9.893684072571e-04       9.893682266713e-04                      nan       4.265061150912e-04       9.681789823777e-04 
       2.699595254278e-03      -2.350279025995e+00      -1.989646086783e+00      -1.991788352293e+00      -1.991786389034e+00       0.000000000000e+00      -2.321886390860e+00      -2.001499524813e+00       5.903757389603e-01       5.815168743194e-01       4.436003956589e-04       1.071641797349e-03       1.072302026258e-03       1.072301847149e-03                      nan       4.225337472603e-04       1.047806854015e-03 
       2.809034094327e-03      -2.391614228526e+00      -2.056548365080e+00      -2.059057383609e+00      -2.059055402994e+00       0.000000000000e+00      -2.359404548705e+00      -2.067913233000e+00       5.887287363742e-01       5.803178121573e-01       4.360769084296e-04       1.158492666469e-03       1.159264875507e-03       1.159264697775e-03                      nan       4.136163061983e-04       1.131114077363e-03 
       2.919467999818e-03      -2.431610073348e+00      -2.126521691825e+00      -2.129444675981e+00      -2.129442678424e+00       0.000000000000e+00      -2.395312357302e+00      -2.137305272863e+00       5.870262677215e-01       5.790698593826e-01       4.230647158601e-04       1.249347597404e-03       1.250245689109e-03       1.250245512664e-03                      nan       3.994826062660e-04       1.218077496446e-03 
       3.030812641171e-03      -2.469952230152e+00      -2.199543043626e+00      -2.202940957711e+00      -2.202938943607e+00       0.000000000000e+00      -2.429301715893e+00      -2.209655411250e+00       5.852705071742e-01       5.777734313412e-01       4.042666414902e-04       1.344183571466e-03       1.345226980171e-03       1.345226804930e-03                      nan       3.799267524314e-04       1.308669473922e-03 
       3.142991559080e-03      -2.506304894274e+00      -2.275606408910e+00      -2.279529559227e+00      -2.279527528954e+00       0.000000000000e+00      -2.461078110922e+00      -2.284939919649e+00       5.834657320988e-01       5.764311492998e-01       3.794566389191e-04       1.442988504240e-03       1.444191055633e-03       1.444190881520e-03                      nan       3.548267362184e-04       1.402866856676e-03 
       3.255935491967e-03      -2.540379222268e+00      -2.354682462931e+00      -2.359195707094e+00      -2.359193661015e+00       0.000000000000e+00      -2.490370277365e+00      -2.363133968084e+00       5.816140314822e-01       5.750433309497e-01       3.484738761918e-04       1.545730390015e-03       1.547111631244e-03       1.547111458188e-03                      nan       3.241285306217e-04       1.500638977647e-03 
       3.369581727509e-03      -2.571890411680e+00      -2.436747341865e+00      -2.441920362925e+00      -2.441918301387e+00       0.000000000000e+00      -2.516929001428e+00      -2.444210467675e+00       5.797184063361e-01       5.736112603932e-01       3.112372712745e-04       1.652379743251e-03       1.653960676418e-03       1.653960504355e-03                      nan       2.878651407977e-04       1.601957330638e-03 
       3.483873489548e-03      -2.600577178213e+00      -2.521772469283e+00      -2.527681925126e+00      -2.527679848462e+00       0.000000000000e+00      -2.540532384330e+00      -2.528140224183e+00       5.777822143648e-01       5.721365700624e-01       2.677483011640e-04       1.762904164835e-03       1.764707922955e-03       1.764707751827e-03                      nan       2.461565413835e-04       1.706794379281e-03 
       3.598759366763e-03      -2.626188613041e+00      -2.609738113975e+00      -2.616456462133e+00      -2.616454370664e+00       0.000000000000e+00      -2.560985954593e+00      -2.614894066863e+00       5.758090388229e-01       5.706211966928e-01       2.180971771696e-04       1.877274328445e-03       1.879321223171e-03       1.879321052921e-03                      nan       1.992107914201e-04       1.815124948160e-03 
       3.714192786088e-03      -2.648519832168e+00      -2.700605735279e+00      -2.708220413686e+00      -2.708218307720e+00       0.000000000000e+00      -2.578127302305e+00      -2.704441293216e+00       5.738013858681e-01       5.690659903290e-01       1.624514741615e-04       1.995446870346e-03       1.997763041729e-03       1.997762872306e-03                      nan       1.473154489427e-04       1.926920307553e-03 
       3.830131531369e-03      -2.667385898554e+00      -2.794340743403e+00      -2.802947796352e+00      -2.802945676185e+00       0.000000000000e+00      -2.591826270398e+00      -2.796750588769e+00       5.717623003312e-01       5.674724084656e-01       1.010691932753e-04       2.117380619999e-03       2.119995132822e-03       2.119994964181e-03                      nan       9.084545723182e-05       2.042154916536e-03 
       3.946537306183e-03      -2.682617123435e+00      -2.890922609707e+00      -2.900609633637e+00      -2.900607499556e+00       0.000000000000e+00      -2.601987628515e+00      -2.891791129139e+00       5.696961049533e-01       5.658432504985e-01       3.431005461360e-05       2.243045012658e-03       2.245981864301e-03       2.245981696398e-03                      nan       3.026535591174e-05       2.160810714231e-03 
       4.063375338686e-03      -2.694102939782e+00      -2.990298644406e+00      -3.001179904229e+00      -3.001177756508e+00       0.000000000000e+00      -2.608548019236e+00      -2.989530746473e+00       5.676041301666e-01       5.641783971238e-01      -3.741149867144e-05       2.372381615230e-03       2.375676139211e-03       2.375675972007e-03                      nan      -3.390211245388e-05       2.282858169971e-03 
       4.180614025754e-03      -2.701731698018e+00      -3.092453979935e+00      -3.104626994925e+00      -3.104624833830e+00       0.000000000000e+00      -2.611483464426e+00      -3.089939218736e+00       5.654912980487e-01       5.624813841642e-01      -1.135583625826e-04       2.505363949564e-03       2.509042134995e-03       2.509041968452e-03                      nan      -1.010401462013e-04       2.408286111458e-03 
       4.298224613405e-03      -2.705454947341e+00      -3.197335514613e+00      -3.210922685266e+00      -3.210920511052e+00       0.000000000000e+00      -2.610800900622e+00      -3.192984424906e+00       5.633590795880e-01       5.607523976372e-01      -1.935538053448e-04       2.641932179990e-03       2.646030608574e-03       2.646030442657e-03                      nan      -1.704896594715e-04       2.537068866692e-03 
       4.416180910359e-03      -2.705239352736e+00      -3.304913057395e+00      -3.320035569939e+00      -3.320033382853e+00       0.000000000000e+00      -2.606545240138e+00      -3.298636024411e+00       5.612110492437e-01       5.589938032174e-01      -2.767218780274e-04       2.782046203889e-03       2.786599361586e-03       2.786599196265e-03                      nan      -2.415216190681e-04       2.669192883425e-03 
