# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       4.116961959268e-01      -4.273159488008e-02      -2.819905637069e+02      -3.982540155315e+02       0.000000000000e+00      -4.270890347591e-02      -3.681610103643e+02       1.067722586898e-02       1.067722586898e-02      -1.657885599537e-06       4.547651866168e-01       4.740126064856e-01                      nan      -1.621269847395e-06       4.528294458419e-01 
       4.147972112573e-01      -4.224375873724e-02      -2.830024541770e+02      -3.996594681988e+02       0.000000000000e+00      -4.222132546831e-02      -3.694629158002e+02       1.055533136708e-02       1.055533136708e-02      -1.638841528237e-06       4.563902414765e-01       4.756841928047e-01                      nan      -1.602640972330e-06       4.544297048515e-01 
       4.178982268607e-01      -4.176905715393e-02      -2.841332587412e+02      -4.010807100020e+02       0.000000000000e+00      -4.174687381075e-02      -3.707966091380e+02       1.043671845269e-02       1.043671845269e-02      -1.620214961488e-06       4.580787928795e-01       4.773903869638e-01                      nan      -1.584414547895e-06       4.560678129489e-01 
       4.209992427309e-01      -4.130688888969e-02      -2.853652563098e+02      -4.025179134933e+02       0.000000000000e+00      -4.128494790585e-02      -3.721594025683e+02       1.032123697646e-02       1.032123697646e-02      -1.602020598113e-06       4.598231777400e-01       4.791299368870e-01                      nan      -1.566606784477e-06       4.577415527397e-01 
       4.241002588621e-01      -4.085636347372e-02      -2.866727349009e+02      -4.039692542291e+02       0.000000000000e+00      -4.083465812655e-02      -3.735457126873e+02       1.020866453164e-02       1.020866453164e-02      -1.584263029074e-06       4.616107810573e-01       4.808981198044e-01                      nan      -1.549224177191e-06       4.594451348627e-01 
       4.272012752486e-01      -4.041622364972e-02      -2.880235820876e+02      -4.054300174646e+02       0.000000000000e+00      -4.039474826748e-02      -3.749465894183e+02       1.009868706687e-02       1.009868706687e-02      -1.566927132664e-06       4.634235668510e-01       4.826854771490e-01                      nan      -1.532253861032e-06       4.611681071155e-01 
       4.303022918849e-01      -3.998485681250e-02      -2.893818378317e+02      -4.068921735718e+02       0.000000000000e+00      -3.996360693826e-02      -3.763497788503e+02       9.990901734564e-03       9.990901734564e-03      -1.549972830234e-06       4.652386799212e-01       4.844775149892e-01                      nan      -1.515658242108e-06       4.628952088026e-01 
       4.334033087655e-01      -3.956067732540e-02      -2.907126556540e+02      -4.083472840643e+02       0.000000000000e+00      -3.953964965083e-02      -3.777428730001e+02       9.884912412707e-03       9.884912412707e-03      -1.533351641524e-06       4.670332753860e-01       4.862589451964e-01                      nan      -1.499391142220e-06       4.646105425780e-01 
       4.365043258852e-01      -3.914217686021e-02      -2.919847632961e+02      -4.097862953291e+02       0.000000000000e+00      -3.912136910919e-02      -3.791135350944e+02       9.780342277297e-03       9.780342277297e-03      -1.517011846625e-06       4.687857254270e-01       4.880141779942e-01                      nan      -1.483402845460e-06       4.662981610193e-01 
       4.396053432390e-01      -3.872834762843e-02      -2.931753745532e+02      -4.112031483397e+02       0.000000000000e+00      -3.870775820051e-02      -3.804532124657e+02       9.676939550127e-03       9.676939550127e-03      -1.500916969455e-06       4.704812681860e-01       4.897326189486e-01                      nan      -1.467658171634e-06       4.679472165114e-01 
       4.427063608219e-01      -3.831861047312e-02      -2.942709343052e+02      -4.125941498426e+02       0.000000000000e+00      -3.829823812277e-02      -3.817567451888e+02       9.574559530693e-03       9.574559530693e-03      -1.485045279250e-06       4.721117313668e-01       4.914081207306e-01                      nan      -1.452136032026e-06       4.695514769540e-01 
       4.458073786292e-01      -3.791283727902e-02      -2.952677751924e+02      -4.139585766991e+02       0.000000000000e+00      -3.789268079049e-02      -3.830229612598e+02       9.473170197623e-03       9.473170197623e-03      -1.469391068697e-06       4.736761434952e-01       4.930396514408e-01                      nan      -1.436830711401e-06       4.711099594905e-01 
