# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  102       2.903215532790e+03       8.263215082059e-01       3.082550582247e-03      -2.562696547914e+01       1.001633707347e-07       3.911573268871e-04      -2.007894571096e-06 
  103       2.936664944809e+03       8.410690065562e-01       3.144090400989e-03      -2.631314707389e+01       9.952879447955e-08       3.869231997379e-04      -2.003516499348e-06 
  104       2.970299250292e+03       8.556214702526e-01       3.206305311390e-03      -2.699834163656e+01       9.888914084326e-08       3.827684385227e-04      -2.000504869571e-06 
  105       3.004115998970e+03       8.699649053116e-01       3.269200186702e-03      -2.768200523977e+01       9.824622520556e-08       3.786962804076e-04      -1.998916110471e-06 
  106       3.038113802879e+03       8.840856835301e-01       3.332779893469e-03      -2.836359187986e+01       9.760344444941e-08       3.747129294321e-04      -1.998649853018e-06 
  107       3.072290412914e+03       8.979701846479e-01       3.397049461485e-03      -2.904254964021e+01       9.696374759608e-08       3.708226914124e-04      -1.999578221674e-06 
  108       3.106642685274e+03       9.116048040305e-01       3.462014086399e-03      -2.971832088423e+01       9.632956438834e-08       3.670278223305e-04      -2.001544209064e-06 
  109       3.141166547886e+03       9.249759603529e-01       3.527679132311e-03      -3.039034244836e+01       9.570273023244e-08       3.633283731793e-04      -2.004360016755e-06 
  110       3.175856966850e+03       9.380701032828e-01       3.594050134378e-03      -3.105804583510e+01       9.508440742903e-08       3.597220312636e-04      -2.007805362104e-06 
  111       3.210707912872e+03       9.508737211636e-01       3.661132801410e-03      -3.172085740602e+01       9.447500262260e-08       3.562039579563e-04      -2.011625751211e-06 
  112       3.245712327694e+03       9.633733486985e-01       3.728933018477e-03      -3.237819857474e+01       9.387408039963e-08       3.527666229113e-04      -2.015530717950e-06 
  113       3.280862090540e+03       9.755555746333e-01       3.797456849508e-03      -3.302948599995e+01       9.328027296509e-08       3.493996347316e-04      -2.019192029094e-06 
  114       3.316147984542e+03       9.874070494397e-01       3.866710539892e-03      -3.367413177843e+01       9.269118582742e-08       3.460895680930e-04      -2.022241855524e-06 
  115       3.351559663182e+03       9.989144929993e-01       3.936700519078e-03      -3.431154363803e+01       9.210329942166e-08       3.428197873243e-04      -2.024270909532e-06 
  116       3.387087052052e+03       1.010065065247e+00       4.007433212662e-03      -3.494113192932e+01       9.151326012024e-08       3.395751028705e-04      -2.024913774844e-06 
