# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       8.659959882004e-04      -1.149070609136e-01      -8.892254463776e-02      -8.894529408346e-02       0.000000000000e+00      -1.144826054837e-01      -8.968902908050e-02       6.099114042420e-01       5.951578375373e-01      -8.169378071664e-06      -7.133129601592e-09                      nan      -8.672474684492e-06      -3.216507405724e-07 
       9.234211115548e-04      -1.300513703206e-01      -1.010763583873e-01      -1.011057653520e-01       0.000000000000e+00      -1.295054497283e-01      -1.019334732070e-01       6.095796503285e-01       5.949348262259e-01      -1.052770918817e-05      -9.218451304183e-09                      nan      -1.117125532494e-05      -4.144339732803e-07 
       9.843380583382e-04      -1.470079798882e-01      -1.148131095284e-01      -1.148510733483e-01       0.000000000000e+00      -1.463072129319e-01      -1.157686476291e-01       6.092054859473e-01       5.946829729754e-01      -1.354373955480e-05      -1.189773536355e-08                      nan      -1.436469983580e-05      -5.330603792956e-07 
       1.048788822492e-03      -1.659109207195e-01      -1.302906812486e-01      -1.303396003252e-01       0.000000000000e+00      -1.650137231930e-01      -1.313520520754e-01       6.087849182855e-01       5.943994626381e-01      -1.738359360648e-05      -1.532655915191e-08                      nan      -1.842726029526e-05      -6.840426285985e-07 
       1.116778986862e-03      -1.868795415793e-01      -1.476677830982e-01      -1.477306636369e-01       0.000000000000e+00      -1.857345952061e-01      -1.488416332812e-01       6.083140103673e-01       5.940814842004e-01      -2.224653976784e-05      -1.969420464477e-08                      nan      -2.356773574144e-05      -8.751860024122e-07 
       1.188277341593e-03      -2.100127513954e-01      -1.671009763598e-01      -1.671815589866e-01       0.000000000000e+00      -2.085573634915e-01      -1.683927429216e-01       6.077889777654e-01       5.937262922387e-01      -2.836824888439e-05      -2.522925937394e-08                      nan      -3.003244618519e-05      -1.115712662475e-06 
       1.263217364035e-03      -2.353835048787e-01      -1.887417554841e-01      -1.888446496047e-01       0.000000000000e+00      -2.335419888071e-01      -1.901551503461e-01       6.072062015591e-01       5.933311978957e-01      -3.602339983443e-05      -3.220048471170e-08                      nan      -3.810756034664e-05      -1.416357161753e-06 
       1.341500403710e-03      -2.630329421164e-01      -2.127330188566e-01      -2.128640203300e-01       0.000000000000e+00      -2.607168870165e-01      -2.142696169169e-01       6.065598575209e-01       5.928915341030e-01      -4.552711619549e-05      -4.094649824060e-08                      nan      -4.811787272249e-05      -1.789384514194e-06 
       1.423000229794e-03      -2.929697227882e-01      -2.392093975594e-01      -2.393753584288e-01       0.000000000000e+00      -2.900729020591e-01      -2.408677689580e-01       6.058499474005e-01       5.924073697667e-01      -5.723621495529e-05      -5.181725985019e-08                      nan      -6.043442470907e-05      -2.248728421568e-06 
       1.507568477172e-03      -3.251643649826e-01      -2.682931770292e-01      -2.685023257046e-01       0.000000000000e+00      -3.215629187050e-01      -2.700684015323e-01       6.050740314326e-01       5.918766932257e-01      -7.154793709441e-05      -6.523690103112e-08                      nan      -7.546616638788e-05      -2.809842042480e-06 
       1.595040487037e-03      -3.595487692792e-01      -3.000939592583e-01      -3.003560873276e-01       0.000000000000e+00      -3.551000560868e-01      -3.019770126547e-01       6.042301590433e-01       5.912977656337e-01      -8.889821535340e-05      -8.168587660926e-08                      nan      -9.365951306671e-05      -3.489649037107e-06 
       1.685241074673e-03      -3.960160255896e-01      -3.347081311192e-01      -3.350347789543e-01       0.000000000000e+00      -3.905578279972e-01      -3.366852846364e-01       6.033168819098e-01       5.906691316955e-01      -1.097584542136e-04      -1.016995102480e-07                      nan      -1.154942513432e-04      -4.306406431882e-06 
       1.777989849548e-03      -4.344214119056e-01      -3.722187901152e-01      -3.726234628131e-01       0.000000000000e+00      -4.277715145061e-01      -3.742710699636e-01       6.023332459051e-01       5.899896155633e-01      -1.346310346405e-04      -1.258788535751e-07                      nan      -1.414781058665e-04      -5.279519623030e-06 
       1.873105833077e-03      -4.745842821295e-01      -4.126961194124e-01      -4.131944853009e-01       0.000000000000e+00      -4.665405651154e-01      -4.147988021289e-01       6.012787826209e-01       5.892583191012e-01      -1.640437625326e-04      -1.548828595187e-07                      nan      -1.721401382313e-04      -6.429312255706e-06 
       1.970411240942e-03      -5.162907910727e-01      -4.561980469052e-01      -4.568081371076e-01       0.000000000000e+00      -5.066318357322e-01      -4.583202214925e-01       6.001534994461e-01       5.884746230563e-01      -1.985433109038e-04      -1.894280899314e-07                      nan      -2.080231581149e-04      -7.776759072206e-06 
       2.069734400901e-03      -5.592972927856e-01      -5.027710228555e-01      -5.035134816816e-01       0.000000000000e+00      -5.477835101086e-01      -5.048752763111e-01       5.989578193328e-01       5.876381415401e-01      -2.386877933453e-04      -2.303075835489e-07                      nan      -2.496752365589e-04      -9.343188085551e-06 
       2.170911853969e-03      -6.033339717129e-01      -5.524510775994e-01      -5.533493292518e-01       0.000000000000e+00      -5.897094244544e-01      -5.544931953337e-01       5.976925826546e-01       5.867487386786e-01      -2.850388444021e-04      -2.783574670917e-07                      nan      -2.976407617655e-04      -1.114995617989e-05 
       2.273789735124e-03      -6.481090148614e-01      -6.052647227254e-01      -6.063452125783e-01       0.000000000000e+00      -6.321037517128e-01      -6.071935503543e-01       5.963589832674e-01       5.858064821889e-01      -3.381530567108e-04      -3.344853772074e-07                      nan      -3.524509767099e-04      -1.321811181852e-05 
       2.378224553043e-03      -6.933128043606e-01      -6.612299636390e-01      -6.625223764068e-01       0.000000000000e+00      -6.746458101008e-01      -6.629873494784e-01       5.949585463868e-01       5.848116381808e-01      -3.985732374412e-04      -3.996606782465e-07                      nan      -4.146144445666e-04      -1.556804649582e-05 
       2.484083492891e-03      -7.386222114278e-01      -7.203572586149e-01      -7.218947234206e-01       0.000000000000e+00      -7.170049293125e-01      -7.218780889733e-01       5.934931031652e-01       5.837646630339e-01      -4.668195286470e-04      -4.749079250767e-07                      nan      -4.846075562130e-04      -1.821914428084e-05 
       2.591244358339e-03      -7.837048731419e-01      -7.826503223269e-01      -7.844696242498e-01       0.000000000000e+00      -7.588453664964e-01      -7.838626702842e-01       5.919647092144e-01       5.826661397050e-01      -5.433805164003e-04      -5.613105018848e-07                      nan      -5.628650849013e-04      -2.118943345315e-05 
       2.699595254278e-03      -8.282235133857e-01      -8.481070097571e-01      -8.502487984336e-01       0.000000000000e+00      -7.998309390600e-01      -8.489323848546e-01       5.903756904304e-01       5.815168393336e-01      -6.287045959400e-04      -6.600063366223e-07                      nan      -6.497715602679e-04      -2.449525549655e-05 
       2.809034094327e-03      -8.718400432093e-01      -9.167198956073e-01      -9.192289127058e-01       0.000000000000e+00      -8.396297432040e-01      -9.170736182156e-01       5.887285266297e-01       5.803176218981e-01      -7.231915842013e-04      -7.721968606245e-07                      nan      -7.456526984060e-04      -2.815094266091e-05 
       2.919467999818e-03      -9.142196142970e-01      -9.884770156556e-01      -9.914023000495e-01       0.000000000000e+00      -8.779184272474e-01      -9.882686718381e-01       5.870258930409e-01       5.790694927478e-01      -8.271849074739e-04      -8.991356755333e-07                      nan      -8.507680953892e-04      -3.216852509531e-05 
       3.030812641170e-03      -9.550343415851e-01      -1.063362395992e+00      -1.066757435497e+00       0.000000000000e+00      -9.143864177682e-01      -1.062496347519e+00       5.852705845983e-01       5.777735424174e-01      -9.409643064090e-04      -1.042108617692e-06                      nan      -9.653043949657e-04      -3.655745574585e-05 
       3.142991559080e-03      -9.939673168239e-01      -1.141356398210e+00      -1.145279494822e+00       0.000000000000e+00      -9.487397030976e-01      -1.139732569406e+00       5.834655253483e-01       5.764309693803e-01      -1.064739257044e-03      -1.202515600125e-06                      nan      -1.089369782755e-03      -4.132438829195e-05 
       3.255935491967e-03      -1.030715474789e+00      -1.222436443576e+00      -1.226950690424e+00       0.000000000000e+00      -9.807044746774e-01      -1.219950864350e+00       5.816137150588e-01       5.750430416194e-01      -1.198643287850e-03      -1.381718709430e-06                      nan      -1.222989326619e-03      -4.647295165227e-05 
