# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   62       1.754615348383e+03       2.407323899149e-01       0.000000000000e+00      -2.834456248562e+00       1.280587595814e-07       6.742197231117e-04      -1.986171044373e-06 
   63       1.778560715716e+03       2.524031375102e-01       0.000000000000e+00      -3.202961762961e+00       1.273796025374e-07       6.630012100966e-04      -1.988696528138e-06 
   64       1.802734894903e+03       2.643451232403e-01       0.000000000000e+00      -3.584746089900e+00       1.266930691701e-07       6.520902260773e-04      -1.986456185470e-06 
   65       1.827124019086e+03       2.765488302457e-01       0.000000000000e+00      -3.979414146528e+00       1.259865707830e-07       6.413939628836e-04      -1.985993842485e-06 
   66       1.851736757467e+03       2.890092605102e-01       0.000000000000e+00      -4.386895448702e+00       1.252684892249e-07       6.309369934170e-04      -1.988240043306e-06 
   67       1.876584972847e+03       3.017224654362e-01       0.000000000000e+00      -4.807210479496e+00       1.245505689812e-07       6.207641422512e-04      -1.992424312630e-06 
   68       1.901676510013e+03       3.146842864979e-01       0.000000000000e+00      -5.240386286083e+00       1.238403456442e-07       6.109020812883e-04      -1.997551933350e-06 
   69       1.927014916037e+03       3.278903587988e-01       0.000000000000e+00      -5.686457349975e+00       1.231402051259e-07       6.013569646691e-04      -2.002384436217e-06 
   70       1.952599160578e+03       3.413361146276e-01       0.000000000000e+00      -6.145466457261e+00       1.224463692667e-07       5.921119758983e-04      -2.005419468789e-06 
   71       1.978423356185e+03       3.550167870151e-01       0.000000000000e+00      -6.617465568849e+00       1.217478056425e-07       5.831247871835e-04      -2.004870043692e-06 
   72       2.004480905085e+03       3.689267522703e-01       0.000000000000e+00      -7.102456130914e+00       1.210314658849e-07       5.743468977136e-04      -1.999157405278e-06 
   73       2.030778482631e+03       3.830574035818e-01       0.000000000000e+00      -7.600194808055e+00       1.203031437118e-07       5.657941904595e-04      -1.988604351782e-06 
   74       2.057324245015e+03       3.973988737810e-01       0.000000000000e+00      -8.110351859671e+00       1.195723825894e-07       5.574918168923e-04      -1.974188019366e-06 
   75       2.084123464999e+03       4.119406488591e-01       0.000000000000e+00      -8.632567892043e+00       1.188462588817e-07       5.494526528964e-04      -1.957079999255e-06 
   76       2.111178353280e+03       4.266715564317e-01       0.000000000000e+00      -9.166453345932e+00       1.181288565810e-07       5.416759067981e-04      -1.938659648493e-06 
   77       2.138487879851e+03       4.415797542038e-01       0.000000000000e+00      -9.711587984173e+00       1.174207043229e-07       5.341456811146e-04      -1.920527751657e-06 
   78       2.166047595365e+03       4.566527184345e-01       0.000000000000e+00      -1.026752037927e+01       1.167181736576e-07       5.268294880237e-04      -1.904520533533e-06 
   79       2.193849452492e+03       4.718772324018e-01       0.000000000000e+00      -1.083376740100e+01       1.160128375503e-07       5.196767185540e-04      -1.892724022740e-06 
   80       2.221885581628e+03       4.872399597291e-01       0.000000000000e+00      -1.140985329888e+01       1.152953158370e-07       5.126361039057e-04      -1.887006543809e-06 
   81       2.250160766149e+03       5.027293044064e-01       0.000000000000e+00      -1.199543589345e+01       1.145699680993e-07       5.057169543861e-04      -1.887441547980e-06 
   82       2.278681817721e+03       5.183338542461e-01       0.000000000000e+00      -1.259020146733e+01       1.138439845374e-07       4.989409137893e-04      -1.893502749121e-06 
   83       2.307453710602e+03       5.340418240190e-01       0.000000000000e+00      -1.319382733425e+01       1.131230092837e-07       4.923236731483e-04      -1.904499599640e-06 
   84       2.336479476237e+03       5.498410547496e-01       0.000000000000e+00      -1.380598205993e+01       1.124108388516e-07       4.858743187943e-04      -1.919565287034e-06 
   85       2.365760097845e+03       5.657190130117e-01       0.000000000000e+00      -1.442632568284e+01       1.117091009696e-07       4.795946604155e-04      -1.937644415795e-06 
   86       2.395294405013e+03       5.816627902243e-01       0.000000000000e+00      -1.505450993509e+01       1.110169133174e-07       4.734785391152e-04      -1.957480374661e-06 
   87       2.425078968283e+03       5.976591019468e-01       0.000000000000e+00      -1.569017846324e+01       1.103305216809e-07       4.675111154674e-04      -1.977602389228e-06 
   88       2.455107993749e+03       6.136942871748e-01       0.000000000000e+00      -1.633296704915e+01       1.096429170408e-07       4.616681375738e-04      -1.996312259910e-06 
   89       2.485375602369e+03       6.297544487036e-01       0.000000000000e+00      -1.698249250102e+01       1.089467534960e-07       4.559251544813e-04      -2.012047483645e-06 
   90       2.515883307469e+03       6.458259009879e-01       0.000000000000e+00      -1.763831684805e+01       1.082450969067e-07       4.502893426576e-04      -2.024599607918e-06 
   91       2.546633521466e+03       6.618947915656e-01       0.000000000000e+00      -1.829997790982e+01       1.075432601278e-07       4.447737508324e-04      -2.034156396208e-06 
   92       2.577627206855e+03       6.779469676336e-01       0.000000000000e+00      -1.896700017646e+01       1.068456079478e-07       4.393876338538e-04      -2.040952611982e-06 
