# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       3.837870713295e-01      -1.540948048063e-02      -2.760272071642e+02      -3.856644044529e+02      -3.856643192298e+02       0.000000000000e+00      -1.538411759977e-02      -3.569928364879e+02       1.191427654382e-02       1.191427654382e-02      -4.595228043158e-01      -1.779835832192e-02      -7.761949926434e-09                      nan      -4.595227633270e-01      -2.039953364391e-02 
       3.868880838984e-01      -1.521927001050e-02      -2.768520991737e+02      -3.871467764963e+02      -3.871466889366e+02       0.000000000000e+00      -1.519422310467e-02      -3.583273265571e+02       1.176787553456e-02       1.176787553456e-02      -4.612529788242e-01      -1.795376429681e-02      -7.943600602700e-09                      nan      -4.612529383524e-01      -2.049031114989e-02 
       3.899890968040e-01      -1.503020242426e-02      -2.775222709361e+02      -3.885826668653e+02      -3.885825769204e+02       0.000000000000e+00      -1.500547047427e-02      -3.595994100990e+02       1.162258881409e-02       1.162258881409e-02      -4.629075876992e-01      -1.813761328313e-02      -8.128021862638e-09                      nan      -4.629075477446e-01      -2.058269196773e-02 
       3.930901100382e-01      -1.484304130872e-02      -2.780849318695e+02      -3.899813505865e+02      -3.899812582074e+02       0.000000000000e+00      -1.481862159348e-02      -3.608241466723e+02       1.147889760064e-02       1.147889760064e-02      -4.645041306348e-01      -1.833758799436e-02      -8.315249194748e-09                      nan      -4.645040911942e-01      -2.067539913426e-02 
       3.961911235933e-01      -1.465873843926e-02      -2.785960837142e+02      -3.913573690675e+02      -3.913572742050e+02       0.000000000000e+00      -1.463462622430e-02      -3.620222722435e+02       1.133743004655e-02       1.133743004655e-02      -4.660673124350e-01      -1.854081068476e-02      -8.505351006021e-09                      nan      -4.660672735006e-01      -2.076734285533e-02 
       3.992921374617e-01      -1.447803956422e-02      -2.791082401078e+02      -3.927215965879e+02      -3.927214991917e+02       0.000000000000e+00      -1.445422849674e-02      -3.632109904891e+02       1.119866536510e-02       1.119866536510e-02      -4.676173658278e-01      -1.873499251822e-02      -8.698420081415e-09                      nan      -4.676173273884e-01      -2.085735525997e-02 
       4.023931516362e-01      -1.430158305466e-02      -2.796691552749e+02      -3.940843851504e+02      -3.940842851694e+02       0.000000000000e+00      -1.427806542639e-02      -3.644063218085e+02       1.106301583193e-02       1.106301583193e-02      -4.691732038420e-01      -1.890959135828e-02      -8.894501656631e-09                      nan      -4.691731658836e-01      -2.094449402997e-02 
       4.054941661098e-01      -1.412979896116e-02      -2.803171235544e+02      -3.954532614944e+02      -3.954531588771e+02       0.000000000000e+00      -1.410656615154e-02      -3.656204845033e+02       1.093075303070e-02       1.093075303070e-02      -4.707491594396e-01      -1.905640708881e-02      -9.093658691210e-09                      nan      -4.707491219463e-01      -2.102801170932e-02 
       4.085951808755e-01      -1.396286588723e-02      -2.810771153371e+02      -3.968321486751e+02      -3.968320433692e+02       0.000000000000e+00      -1.393990889321e-02      -3.668606465288e+02       1.080198126171e-02       1.080198126171e-02      -4.723535492746e-01      -1.917048822354e-02      -9.295934598598e-09                      nan      -4.723535122295e-01      -2.110744402362e-02 
       4.116961959268e-01      -1.380076422797e-02      -2.819612778330e+02      -3.982224804913e+02      -3.982223724447e+02       0.000000000000e+00      -1.377807408710e-02      -3.681299097026e+02       1.067667833091e-02       1.067667833091e-02      -4.739899744426e-01      -1.925006892391e-02      -9.501319092260e-09                      nan      -4.739899378290e-01      -2.118264970743e-02 
       4.147972112573e-01      -1.364342147582e-02      -2.829723391456e+02      -3.996269151425e+02      -3.996268043015e+02       0.000000000000e+00      -1.362098943157e-02      -3.694308663400e+02       1.055480646930e-02       1.055480646930e-02      -4.756619101134e-01      -1.929654706360e-02      -9.709897125652e-09                      nan      -4.756618739149e-01      -2.125398268903e-02 
       4.178982268607e-01      -1.349060821297e-02      -2.841010364996e+02      -4.010461803708e+02      -4.010460666818e+02       0.000000000000e+00      -1.346842604173e-02      -3.707626288685e+02       1.043622989826e-02       1.043622989826e-02      -4.773688787536e-01      -1.931425005939e-02      -9.921665350633e-09                      nan      -4.773688429552e-01      -2.132210862481e-02 
       4.209992427309e-01      -1.334208752246e-02      -2.853321573072e+02      -4.024822033340e+02      -4.024820867422e+02       0.000000000000e+00      -1.332014757965e-02      -3.721243335461e+02       1.032081923809e-02       1.032081923809e-02      -4.791107530760e-01      -1.930935671562e-02      -1.013672048616e-08                      nan      -4.791107176640e-01      -2.138799918057e-02 
       4.241002588622e-01      -1.319741207656e-02      -2.866385561955e+02      -4.039321810110e+02      -4.039320614576e+02       0.000000000000e+00      -1.317570768738e-02      -3.735093741886e+02       1.020829359044e-02       1.020829359044e-02      -4.808803312378e-01      -1.928988883379e-02      -1.035522710808e-08                      nan      -4.808802962007e-01      -2.145264654809e-02 
       4.272012752487e-01      -1.305610759287e-02      -2.879891373544e+02      -4.053924327379e+02      -4.053923101728e+02       0.000000000000e+00      -1.303463310473e-02      -3.749098020677e+02       1.009835014611e-02       1.009835014611e-02      -4.826687419402e-01      -1.926443484590e-02      -1.057679990580e-08                      nan      -4.826687072685e-01      -2.151706858064e-02 
       4.303022918849e-01      -1.291756071224e-02      -2.893474024903e+02      -4.068543616359e+02      -4.068542359997e+02       0.000000000000e+00      -1.289631171624e-02      -3.763128171164e+02       9.990572896521e-03       9.990572896521e-03      -4.844608216632e-01      -1.924133582854e-02      -1.080181150292e-08                      nan      -4.844607873502e-01      -2.158200322594e-02 
       4.334033087655e-01      -1.278120320107e-02      -2.906780277475e+02      -4.083093115607e+02      -4.083091827981e+02       0.000000000000e+00      -1.276017643030e-02      -3.777057585874e+02       9.884571619786e-03       9.884571619786e-03      -4.862414505557e-01      -1.922821550003e-02      -1.103002551155e-08                      nan      -4.862414165969e-01      -2.164807672715e-02 
       4.365043258852e-01      -1.264651721211e-02      -2.919499875568e+02      -4.097480185674e+02      -4.097478866189e+02       0.000000000000e+00      -1.262571040414e-02      -3.790761584277e+02       9.779981852107e-03       9.779981852107e-03      -4.879955103259e-01      -1.923099813618e-02      -1.126160756563e-08                      nan      -4.879954767186e-01      -2.171564679643e-02 
       4.396053432390e-01      -1.251316201350e-02      -2.931405067470e+02      -4.111646929242e+02      -4.111645577325e+02       0.000000000000e+00      -1.249257355934e-02      -3.804156842680e+02       9.676563762609e-03       9.676563762609e-03      -4.897129601217e-01      -1.925391027960e-02      -1.149638819510e-08                      nan      -4.897129268647e-01      -2.178499714610e-02 
       4.427063608219e-01      -1.238093724500e-02      -2.942362058249e+02      -4.125557183415e+02      -4.125555798478e+02       0.000000000000e+00      -1.236056589081e-02      -3.817192666716e+02       9.574171921271e-03       9.574171921271e-03      -4.913876486025e-01      -1.929896996707e-02      -1.173443514005e-08                      nan      -4.913876156950e-01      -2.185621129915e-02 
       4.458073786292e-01      -1.224981447056e-02      -2.952339523056e+02      -4.139210390824e+02      -4.139208972259e+02       0.000000000000e+00      -1.222965897593e-02      -3.829863605496e+02       9.472780187252e-03       9.472780187252e-03      -4.930189260487e-01      -1.936610697991e-02      -1.197585036632e-08                      nan      -4.930188934901e-01      -2.192925329211e-02 
       4.489083966561e-01      -1.211981885457e-02      -2.961378217019e+02      -4.152605810374e+02      -4.152604357600e+02       0.000000000000e+00      -1.209987785907e-02      -3.842175561091e+02       9.372390965123e-03       9.372390965123e-03      -4.946072770347e-01      -1.945320639026e-02      -1.222045758461e-08                      nan      -4.946072448239e-01      -2.200380741376e-02 
       4.520094148981e-01      -1.199104309953e-02      -2.969585403043e+02      -4.165751284895e+02      -4.165749797305e+02       0.000000000000e+00      -1.197131498192e-02      -3.854152013835e+02       9.273048255945e-03       9.273048255945e-03      -4.961551569295e-01      -1.955654773056e-02      -1.246840072149e-08                      nan      -4.961551250648e-01      -2.207937962825e-02 
