# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_m                    8:d_tot                  9:phi                   10:psi                
       8.652686660505e-04      -1.147211074696e-01      -8.877351268407e-02      -8.879624864415e-02       0.000000000000e+00      -1.142975451437e-01      -8.880468578248e-02      -8.953892674816e-02       6.099149250992e-01       5.951605613625e-01 
       9.226273542794e-04      -1.298370682688e-01      -1.009030266535e-01      -1.009324139044e-01       0.000000000000e+00      -1.292923328890e-01      -1.009414204279e-01      -1.017589521622e-01       6.095838395900e-01       5.949379977558e-01 
       9.834745268089e-04      -1.467621875314e-01      -1.146122301145e-01      -1.146501655912e-01       0.000000000000e+00      -1.460629825257e-01      -1.146596461235e-01      -1.155664621036e-01       6.092104298567e-01       5.946866512390e-01 
       1.047852607621e-03      -1.656305182487e-01      -1.300588003294e-01      -1.301076794761e-01       0.000000000000e+00      -1.647353631977e-01      -1.301174780634e-01      -1.311187567537e-01       6.087907065087e-01       5.944037094577e-01 
       1.115767679970e-03      -1.865615357441e-01      -1.474012783692e-01      -1.474641048747e-01       0.000000000000e+00      -1.854192346109e-01      -1.474739875035e-01      -1.485736234950e-01       6.083207362924e-01       5.940863648761e-01 
       1.187189079911e-03      -2.096543811355e-01      -1.667961038541e-01      -1.668766135057e-01       0.000000000000e+00      -2.082023890252e-01      -1.668862472928e-01      -1.680863010133e-01       6.077967361347e-01       5.937318732901e-01 
       1.262050848026e-03      -2.349823782193e-01      -1.883947069161e-01      -1.884975025494e-01       0.000000000000e+00      -2.331451483139e-01      -1.885064313212e-01      -1.898065054008e-01       6.072151306882e-01       5.933375831440e-01 
       1.340254886192e-03      -2.625870974519e-01      -2.123399353728e-01      -2.124708083606e-01       0.000000000000e+00      -2.602764311482e-01      -2.124784155116e-01      -2.138749639385e-01       6.065700062141e-01       5.928987561244e-01 
       1.421675479984e-03      -2.924777807589e-01      -2.387664406391e-01      -2.389322389205e-01       0.000000000000e+00      -2.895876586428e-01      -2.389377367205e-01      -2.404233398177e-01       6.058614034897e-01       5.924154928472e-01 
       1.506164725124e-03      -3.246255921828e-01      -2.677965646961e-01      -2.680055086030e-01       0.000000000000e+00      -3.210323830015e-01      -2.680079006856e-01      -2.695704987572e-01       6.050868818299e-01       5.918857831065e-01 
       1.593558355216e-03      -3.589631544623e-01      -2.995399932432e-01      -2.998018647578e-01       0.000000000000e+00      -3.545244591875e-01      -2.997999135696e-01      -3.014220399042e-01       6.042444838549e-01       5.913078846655e-01 
       1.683681503499e-03      -3.953843409681e-01      -3.340932149525e-01      -3.344195490213e-01       0.000000000000e+00      -3.899381823337e-01      -3.344117415028e-01      -3.360697704912e-01       6.033327538301e-01       5.906803386549e-01 
       1.776354022962e-03      -4.337452297335e-01      -3.715394554870e-01      -3.719437466476e-01       0.000000000000e+00      -4.271096375324e-01      -3.719282593048e-01      -3.735916865291e-01       6.023507314648e-01       5.900019667333e-01 
       1.871395108775e-03      -4.738659972289e-01      -4.119490292236e-01      -4.124469356603e-01       0.000000000000e+00      -4.658390858481e-01      -4.124215986285e-01      -4.140523729642e-01       6.012979388273e-01       5.892718654138e-01 
       1.968627088387e-03      -5.155336329342e-01      -4.553799929888e-01      -4.559895446706e-01       0.000000000000e+00      -5.058941787861e-01      -4.559518055340e-01      -4.575037263732e-01       6.001743757345e-01       5.884894120253e-01 
       2.067878348742e-03      -5.585052694804e-01      -5.018789464836e-01      -5.026207750407e-01       0.000000000000e+00      -5.470138646595e-01      -5.025676615289e-01      -5.039858531665e-01       5.989804578979e-01       5.876542175280e-01 
       2.168985447312e-03      -6.025118531243e-01      -5.514820581512e-01      -5.523795725945e-01       0.000000000000e+00      -5.889126988533e-01      -5.523076575152e-01      -5.535281357325e-01       5.977170178434e-01       5.867661423847e-01 
