# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       3.943647602717e-03       2.334864589641e+05       2.322156100060e+05       1.562344190393e+05       1.456550147997e+05       0.000000000000e+00       2.309195177270e+05 
       4.060432089691e-03       2.329895499448e+05       2.316437972596e+05       1.492172953287e+05       1.386272780048e+05       0.000000000000e+00       2.302215692408e+05 
       4.177617690163e-03       2.324812849045e+05       2.310583787519e+05       1.422622376287e+05       1.317071541208e+05       0.000000000000e+00       2.295145731033e+05 
       4.295175614210e-03       2.319620754142e+05       2.304597318320e+05       1.353868247602e+05       1.249126194567e+05       0.000000000000e+00       2.287994376541e+05 
       4.413079637694e-03       2.314322752218e+05       2.298482222470e+05       1.286078397305e+05       1.182605968322e+05       0.000000000000e+00       2.280769963452e+05 
       4.531305845636e-03       2.308922653780e+05       2.292242735225e+05       1.219412872996e+05       1.117668240488e+05       0.000000000000e+00       2.273480866306e+05 
       4.649832402731e-03       2.303424592610e+05       2.285883027791e+05       1.154023754766e+05       1.054457932169e+05       0.000000000000e+00       2.266135427656e+05 
       4.768639348232e-03       2.297832104016e+05       2.279406786473e+05       1.090053724057e+05       9.931074892600e+04       0.000000000000e+00       2.258741118225e+05 
       4.887708412658e-03       2.292149334574e+05       2.272818335859e+05       1.027636256225e+05       9.337357921067e+04       0.000000000000e+00       2.251305688160e+05 
       5.007022853979e-03       2.286379968804e+05       2.266121595070e+05       9.668945875587e+04       8.764484016061e+04       0.000000000000e+00       2.243836114744e+05 
       5.126567311187e-03       2.280527743969e+05       2.259320136220e+05       9.079416569083e+04       8.213370554534e+04       0.000000000000e+00       2.236339022493e+05 
       5.246327673323e-03       2.274596694761e+05       2.252418325682e+05       8.508801033224e+04       7.684794952270e+04       0.000000000000e+00       2.228821061731e+05 
       5.366290962267e-03       2.268590279341e+05       2.245420061857e+05       7.958012099028e+04       7.179397522925e+04       0.000000000000e+00       2.221287983290e+05 
       5.486445227771e-03       2.262512745908e+05       2.238329382946e+05       7.427857051752e+04       6.697677603666e+04       0.000000000000e+00       2.213745853532e+05 
       5.606779453367e-03       2.256367326802e+05       2.231149901141e+05       6.919025665147e+04       6.240000999161e+04       0.000000000000e+00       2.206199486991e+05 
       5.727283471950e-03       2.250157926862e+05       2.223885694267e+05       6.432098632535e+04       5.806597249301e+04       0.000000000000e+00       2.198653969871e+05 
       5.847947889969e-03       2.243887828603e+05       2.216540584404e+05       5.967542091532e+04       5.397566588701e+04       0.000000000000e+00       2.191113493122e+05 
