# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   87       2.427347861234e+03       5.995695569445e-01       2.265996287261e-03      -1.568741710596e+01       1.103305216809e-07       4.675111154674e-04      -1.977602389228e-06 
   88       2.457401754564e+03       6.156377506580e-01       2.318594008966e-03      -1.632951877988e+01       1.096429170408e-07       4.616681375738e-04      -1.996312259910e-06 
   89       2.487693472703e+03       6.317309155318e-01       2.371815869973e-03      -1.697831318989e+01       1.089467534960e-07       4.559251544813e-04      -2.012047483645e-06 
   90       2.518224494070e+03       6.478353720512e-01       2.425664456525e-03      -1.763336130627e+01       1.082450969067e-07       4.502893426576e-04      -2.024599607918e-06 
   91       2.548997191207e+03       6.639372757826e-01       2.480142503425e-03      -1.829419994544e+01       1.075432601278e-07       4.447737508324e-04      -2.034156396208e-06 
   92       2.580012485595e+03       6.800224833643e-01       2.535252902970e-03      -1.896035261499e+01       1.068456079478e-07       4.393876338538e-04      -2.040952611982e-06 
   93       2.611269777947e+03       6.960765539530e-01       2.590998708788e-03      -1.963132956594e+01       1.061553874737e-07       4.341360886455e-04      -2.045272870615e-06 
   94       2.642766878495e+03       7.120847506715e-01       2.647383139686e-03      -2.030662784496e+01       1.054745485292e-07       4.290196801706e-04      -2.047454554997e-06 
   95       2.674499937285e+03       7.280320420551e-01       2.704409583488e-03      -2.098573134671e+01       1.048035538452e-07       4.240340574043e-04      -2.047890794823e-06 
   96       2.706463374466e+03       7.439031034993e-01       2.762081600881e-03      -2.166811086598e+01       1.041411788180e-07       4.191695593136e-04      -2.047033509583e-06 
   97       2.738649810583e+03       7.596823187068e-01       2.820402929257e-03      -2.235322415007e+01       1.034843006147e-07       4.144108108443e-04      -2.045396515223e-06 
   98       2.771049996864e+03       7.753537811341e-01       2.879377486553e-03      -2.304051595093e+01       1.028276764012e-07       4.097363089173e-04      -2.043558694505e-06 
   99       2.803655041302e+03       7.909016740522e-01       2.939009372917e-03      -2.372942929106e+01       1.021660280463e-07       4.051254840944e-04      -2.042048262238e-06 
  100       2.836463597343e+03       8.063114690221e-01       2.999302867654e-03      -2.441944096867e+01       1.015015073346e-07       4.005825474230e-04      -2.040960170464e-06 
  101       2.869475568655e+03       8.215689006506e-01       3.060262438981e-03      -2.511003120193e+01       1.008378890813e-07       3.961169049091e-04      -2.040263684297e-06 
  102       2.902689862821e+03       8.366596090820e-01       3.121892749940e-03      -2.580067304995e+01       1.001783422554e-07       3.917359379556e-04      -2.039913331753e-06 
  103       2.936104349459e+03       8.515691460345e-01       3.184198662211e-03      -2.649083260088e+01       9.952533283568e-08       3.874448225486e-04      -2.039847892433e-06 
  104       2.969715818343e+03       8.662829808361e-01       3.247185239930e-03      -2.717996916013e+01       9.888052151903e-08       3.832463439226e-04      -2.039989362938e-06 
  105       3.003519937520e+03       8.807865064618e-01       3.310857753501e-03      -2.786753543854e+01       9.824465617864e-08       3.791407067062e-04      -2.040241899013e-06 
  106       3.037511211430e+03       8.950650455689e-01       3.375221683420e-03      -2.855297774056e+01       9.761745896826e-08       3.751253405449e-04      -2.040490734410e-06 
  107       3.071682939021e+03       9.091038565343e-01       3.440282724084e-03      -2.923573615240e+01       9.699750796884e-08       3.711947012054e-04      -2.040601076498e-06 
  108       3.106027171874e+03       9.228881394901e-01       3.506046787609e-03      -2.991524473028e+01       9.638211327441e-08       3.673400671576e-04      -2.040416978584e-06 
  109       3.140534672314e+03       9.364030423605e-01       3.572520007647e-03      -3.059093168851e+01       9.576718741338e-08       3.635493316366e-04      -2.039760188977e-06 
  110       3.175196441225e+03       9.496340274613e-01       3.639708530974e-03      -3.126222314012e+01       9.514879365437e-08       3.598111135674e-04      -2.038467515120e-06 
  111       3.210008613547e+03       9.625680116721e-01       3.707617853738e-03      -3.192855445876e+01       9.452854998746e-08       3.561284582950e-04      -2.036513687636e-06 
  112       3.244968113832e+03       9.751923841570e-01       3.776253407012e-03      -3.258936072977e+01       9.390934138911e-08       3.525073620415e-04      -2.033909821796e-06 
  113       3.280071116407e+03       9.874946683149e-01       3.845620763138e-03      -3.324407354835e+01       9.329370443714e-08       3.489525828158e-04      -2.030666846962e-06 
  114       3.315313018921e+03       9.994625313602e-01       3.915725637461e-03      -3.389212124265e+01       9.268377444539e-08       3.454675419579e-04      -2.026795416697e-06 
  115       3.350688415887e+03       1.011083793902e+00       3.986573890055e-03      -3.453292909682e+01       9.208123004521e-08       3.420542234701e-04      -2.022305816173e-06 
  116       3.386191072233e+03       1.022346439525e+00       4.058171527456e-03      -3.516591957418e+01       9.148723516723e-08       3.387130711340e-04      -2.017207866876e-06 
  117       3.421813896845e+03       1.033238624368e+00       4.130524704391e-03      -3.579051254022e+01       9.090237837697e-08       3.354428834147e-04      -2.011510828599e-06 
  118       3.457548916113e+03       1.043748686705e+00       4.203639725510e-03      -3.640612548577e+01       9.032660951761e-08       3.322407061510e-04      -2.005223298737e-06 
  119       3.493387247474e+03       1.053865156526e+00       4.277523047115e-03      -3.701217375004e+01       8.975917361335e-08       3.291017230318e-04      -1.998353108875e-06 
  120       3.529319072961e+03       1.063576765114e+00       4.352181278890e-03      -3.760807074374e+01       8.919854198691e-08       3.260191438596e-04      -1.990907218668e-06 
  121       3.565333612749e+03       1.072872454629e+00       4.427621185633e-03      -3.819322817213e+01       8.864234054446e-08       3.229840906000e-04      -1.982891607020e-06 
