#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.595040e-03    2.409334e+05    2.407231e+05    2.884153e+05    2.848467e+05    0.000000e+00    2.408988e+05    0.000000e+00    0.000000e+00   -5.977640e-01    2.398205e+05    2.397688e+05   -5.175067e+01
   1.685241e-03    2.407519e+05    2.405172e+05    2.845723e+05    2.806501e+05    0.000000e+00    2.407133e+05    0.000000e+00    0.000000e+00   -5.969930e-01    2.396387e+05    2.395812e+05   -5.752749e+01
   1.777990e-03    2.405557e+05    2.402944e+05    2.804507e+05    2.761577e+05    0.000000e+00    2.405127e+05    0.000000e+00    0.000000e+00   -5.961614e-01    2.394418e+05    2.393777e+05   -6.408916e+01
   1.873106e-03    2.403443e+05    2.400544e+05    2.760531e+05    2.713743e+05    0.000000e+00    2.402966e+05    0.000000e+00    0.000000e+00   -5.952686e-01    2.392295e+05    2.391583e+05   -7.120516e+01
   1.970411e-03    2.401176e+05    2.397969e+05    2.713842e+05    2.663070e+05    0.000000e+00    2.400649e+05    0.000000e+00    0.000000e+00   -5.943141e-01    2.390016e+05    2.389228e+05   -7.879260e+01
   2.069734e-03    2.398754e+05    2.395217e+05    2.664510e+05    2.609658e+05    0.000000e+00    2.398173e+05    0.000000e+00    0.000000e+00   -5.932980e-01    2.387581e+05    2.386715e+05   -8.661556e+01
   2.170912e-03    2.396177e+05    2.392287e+05    2.612626e+05    2.553628e+05    0.000000e+00    2.395538e+05    0.000000e+00    0.000000e+00   -5.922207e-01    2.384986e+05    2.384036e+05   -9.499762e+01
   2.273790e-03    2.393444e+05    2.389179e+05    2.558299e+05    2.495121e+05    0.000000e+00    2.392743e+05    0.000000e+00    0.000000e+00   -5.910827e-01    2.382229e+05    2.381185e+05   -1.044076e+02
   2.378225e-03    2.390555e+05    2.385892e+05    2.501655e+05    2.434300e+05    0.000000e+00    2.389789e+05    0.000000e+00    0.000000e+00   -5.898851e-01    2.379315e+05    2.378177e+05   -1.137533e+02
   2.484083e-03    2.387511e+05    2.382426e+05    2.442834e+05    2.371339e+05    0.000000e+00    2.386676e+05    0.000000e+00    0.000000e+00   -5.886289e-01    2.376238e+05    2.374996e+05   -1.241017e+02
   2.591244e-03    2.384313e+05    2.378784e+05    2.381989e+05    2.306431e+05    0.000000e+00    2.383405e+05    0.000000e+00    0.000000e+00   -5.873154e-01    2.373003e+05    2.371655e+05   -1.347857e+02
   2.699595e-03    2.380963e+05    2.374965e+05    2.319285e+05    2.239777e+05    0.000000e+00    2.379977e+05    0.000000e+00    0.000000e+00   -5.859463e-01    2.369609e+05    2.368150e+05   -1.458996e+02
   2.809034e-03    2.377462e+05    2.370973e+05    2.254897e+05    2.171589e+05    0.000000e+00    2.376396e+05    0.000000e+00    0.000000e+00   -5.845231e-01    2.366059e+05    2.364483e+05   -1.576078e+02
   2.919468e-03    2.373812e+05    2.366808e+05    2.189006e+05    2.102087e+05    0.000000e+00    2.372661e+05    0.000000e+00    0.000000e+00   -5.830477e-01    2.362353e+05    2.360656e+05   -1.696954e+02
   3.030813e-03    2.370017e+05    2.362474e+05    2.121801e+05    2.031494e+05    0.000000e+00    2.368777e+05    0.000000e+00    0.000000e+00   -5.815221e-01    2.358492e+05    2.356662e+05   -1.829335e+02
   3.142992e-03    2.366078e+05    2.357973e+05    2.053476e+05    1.960038e+05    0.000000e+00    2.364746e+05    0.000000e+00    0.000000e+00   -5.799482e-01    2.354481e+05    2.352520e+05   -1.960533e+02
   3.255935e-03    2.361998e+05    2.353307e+05    1.984226e+05    1.887950e+05    0.000000e+00    2.360569e+05    0.000000e+00    0.000000e+00   -5.783284e-01    2.350320e+05    2.348222e+05   -2.098335e+02
   3.369582e-03    2.357780e+05    2.348480e+05    1.914251e+05    1.815458e+05    0.000000e+00    2.356252e+05    0.000000e+00    0.000000e+00   -5.766647e-01    2.346011e+05    2.343769e+05   -2.242428e+02
   3.483873e-03    2.353427e+05    2.343496e+05    1.843750e+05    1.742792e+05    0.000000e+00    2.351795e+05    0.000000e+00    0.000000e+00   -5.749594e-01    2.341559e+05    2.339165e+05   -2.393374e+02
